,preco_imov,id_imov,cidade,endereco,titulo_imov,vaga,banheiro,condominio,iptu
0,R$ 480.000,Imóvel IKX6A7,Apartamento em Belo Horizonte,Rua Professor Miguel de Souza,"Apartamento à venda em Buritis com 100 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 350/mês,R$ 129/mês
0,R$ 610.000,Imóvel 1C3R8R5,Apartamento em Belo Horizonte,Rua Moreira César,"Apartamento à venda em Gutierrez com 95 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 500/mês,R$ 300/ano
0,R$ 500.000,Imóvel SLN6WU,Apartamento em Belo Horizonte,Rua Bambuí,"Apartamento à venda em Cruzeiro com 84 m², 2 quartos, 1 vaga","2 quartos
sem suíte",1 vaga,R$ 300/mês,R$ 122/mês
0,R$ 465.000,Imóvel 1VM3FZQ,Apartamento em Belo Horizonte,Rua Professor Estevão Pinto,"Apartamento à venda em Serra com 101 m², 3 quartos, 1 vaga","3 quartos
sem suíte",1 vaga,R$ 600/mês,R$ 1.600/ano
0,R$ 580.000,Imóvel 1T5IBVT,Apartamento em Belo Horizonte,Rua Flor-de-esparódia,"Apartamento à venda em Ouro Preto com 81 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 550/mês,R$ 195/mês
0,R$ 650.000,Imóvel 1XYCL9T,Apartamento em Belo Horizonte,Rua Benjamim Flores,"Apartamento à venda em Santo Antônio com 90 m², 3 quartos, 1 suíte, 1 vaga","3 quartos
1 suíte",1 vaga,R$ 560/mês,R$ 78/mês
0,R$ 480.000,Imóvel GZHGID,Apartamento em Belo Horizonte,Rua Esmeraldo Botelho,"Apartamento à venda em Buritis com 100 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 550/mês,R$ 160/ano
0,R$ 350.000,Imóvel Z8M4A,Apartamento em Belo Horizonte,Rua Corretor Juventino de Jesus,"Apartamento à venda em Candelária com 83 m², 3 quartos, 1 suíte, 1 vaga","3 quartos
1 suíte",1 vaga,R$ 486/mês,R$ 89/ano
0,R$ 310.000,Imóvel 1S4OLXC,Apartamento em Belo Horizonte,Rua Aluísio Lobão Veras,"Apartamento à venda em Serrano com 55 m², 2 quartos, 1 suíte, 1 vaga","2 quartos
1 suíte",1 vaga,R$ 350/mês,R$ 130/mês
0,R$ 540.000,Imóvel PGA11Q,Apartamento em Belo Horizonte,Avenida Professor Mário Werneck,"Apartamento à venda em Buritis com 78 m², 2 quartos, 1 suíte, 2 vagas","2 quartos
1 suíte",2 vagas,R$ 450/mês,R$ 203/mês
0,R$ 590.000,Imóvel 113CMZU,Apartamento em Belo Horizonte,Rua José Amaral,"Apartamento à venda em Ouro Preto com 96 m², 2 quartos, 1 suíte, 2 vagas","2 quartos
1 suíte",2 vagas,R$ 350/mês,R$ 1.650/ano
0,R$ 320.000,Imóvel A5A7GG,Apartamento em Belo Horizonte,Rua Gustavo Ladeira,"Apartamento à venda em Paquetá com 55 m², 2 quartos, 1 suíte, 1 vaga","2 quartos
1 suíte",1 vaga,R$ 475/mês,R$ 1.500/ano
0,R$ 383.036,Imóvel 63B1I7,Apartamento em Belo Horizonte,Rua Vitório Magnavacca,"Apartamento à venda em Buritis com 80 m², 3 quartos, 1 suíte, 1 vaga","3 quartos
1 suíte",1 vaga,R$ 350/mês,R$ 800/mês
0,R$ 841.000,Imóvel 1TWE7YC,Apartamento em Belo Horizonte,Rua Xapuri,"Apartamento à venda em Nova Granada com 120 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 980/mês,R$ 265/mês
0,R$ 490.000,Imóvel 1GC9143,Apartamento em Belo Horizonte,Rua Sílvio de Oliveira Martins,"Apartamento à venda em Buritis com 100 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 400/mês,R$ 181/ano
0,R$ 400.000,Imóvel CF7GIU,Apartamento em Belo Horizonte,Rua Paulo Diniz Carneiro,"Apartamento à venda em Buritis com 96 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 350/mês,R$ 130/mês
0,R$ 550.000,Imóvel D0GFHR,Apartamento em Belo Horizonte,Rua Campanha,"Apartamento à venda em Carmo com 92 m², 3 quartos, 2 vagas","3 quartos
sem suíte",2 vagas,R$ 630/mês,R$ 1.383/mês
0,R$ 550.000,Imóvel 1G0U2EV,Apartamento em Belo Horizonte,Rua Rubim,"Apartamento à venda em Sion com 95 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 450/mês,R$ 152/mês
0,R$ 400.000,Imóvel 17J8ZVU,Apartamento em Belo Horizonte,Rua Frei Martinho Burnier,"Apartamento à venda em Paquetá com 75 m², 2 quartos","2 quartos
sem suíte",2 Banheiros,R$ 630/mês,R$ 176/ano
0,R$ 300.000,Imóvel 1YMCZBO,Apartamento em Belo Horizonte,Rua Antero de Quental,"Apartamento à venda em Santa Branca com 70 m², 2 quartos, 1 vaga","2 quartos
sem suíte",1 vaga,R$ 300/mês,Isento
0,R$ 445.000,Imóvel 1Q3PSOU,Apartamento em Belo Horizonte,Rua Cândido Nogueira,"Apartamento à venda em Grajaú com 99 m², 3 quartos, 1 suíte, 1 vaga","3 quartos
1 suíte",1 vaga,R$ 400/mês,R$ 80/mês
0,R$ 900.000,Imóvel 1E4FMYX,Apartamento em Belo Horizonte,Rua Conselheiro Joaquim Caetano,"Apartamento à venda em Nova Granada com 93 m², 3 quartos, 1 suíte, 3 vagas","3 quartos
1 suíte",3 vagas,R$ 803/mês,R$ 298/mês
0,R$ 450.000,Imóvel 2Q02S2,Apartamento em Belo Horizonte,Rua Sílvio de Oliveira Martins,"Apartamento à venda em Buritis com 100 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 300/mês,R$ 1.900/ano
0,R$ 850.000,Imóvel 1CJ5BY3,Apartamento em Belo Horizonte,Rua Nascimento Gurgel,"Apartamento à venda em Gutierrez com 140 m², 4 quartos, 1 suíte, 3 vagas","4 quartos
1 suíte",3 vagas,R$ 630/mês,Isento
